time,best_bid,best_ask
1631435232.2474911,180.37000000,180.39000000
1631435232.339597,180.37000000,180.39000000
1631435232.4388428,180.37000000,180.39000000
1631435232.538938,180.37000000,180.39000000
1631435232.639414,180.37000000,180.39000000
1631435232.739459,180.37000000,180.38000000
1631435232.839575,180.36000000,180.37000000
1631435232.941908,180.36000000,180.37000000
1631435233.040653,180.36000000,180.37000000
1631435233.14011,180.36000000,180.37000000
1631435233.239659,180.36000000,180.37000000
1631435233.3396292,180.36000000,180.37000000
1631435233.4395468,180.36000000,180.37000000
1631435233.5406651,180.36000000,180.37000000
1631435233.640507,180.36000000,180.37000000
1631435233.7395809,180.36000000,180.37000000
1631435233.8400278,180.36000000,180.37000000
1631435233.9415958,180.36000000,180.37000000
1631435234.040056,180.36000000,180.37000000
1631435234.140681,180.36000000,180.37000000
1631435234.240344,180.36000000,180.37000000
1631435234.340338,180.36000000,180.37000000
1631435234.4410932,180.36000000,180.38000000
1631435234.542033,180.36000000,180.40000000
1631435234.6412349,180.36000000,180.40000000
1631435234.759146,180.36000000,180.40000000
1631435234.8434088,180.36000000,180.40000000
1631435234.945884,180.36000000,180.40000000
1631435235.0422678,180.36000000,180.40000000
1631435235.140973,180.36000000,180.40000000
1631435235.240437,180.38000000,180.45000000
1631435235.341003,180.38000000,180.45000000
1631435235.441674,180.38000000,180.45000000
1631435235.5404348,180.38000000,180.45000000
1631435235.646246,180.38000000,180.45000000
1631435235.744688,180.46000000,180.47000000
1631435235.8458738,180.46000000,180.47000000
1631435235.951606,180.46000000,180.56000000
1631435236.045839,180.46000000,180.55000000
1631435236.145958,180.46000000,180.55000000
1631435236.249782,180.41000000,180.54000000
1631435236.345162,180.46000000,180.52000000
1631435236.4453728,180.46000000,180.52000000
1631435236.547126,180.46000000,180.50000000
1631435236.6466691,180.46000000,180.50000000
1631435236.746645,180.46000000,180.50000000
1631435236.8452082,180.48000000,180.50000000
1631435236.949754,180.49000000,180.50000000
1631435237.045415,180.49000000,180.50000000
1631435237.1472352,180.49000000,180.51000000
1631435237.24751,180.49000000,180.50000000
1631435237.3467991,180.49000000,180.50000000
1631435237.445729,180.49000000,180.53000000
1631435237.546188,180.49000000,180.53000000
1631435237.646824,180.49000000,180.59000000
1631435237.778566,180.51000000,180.55000000
1631435237.852581,180.51000000,180.55000000
1631435237.953342,180.51000000,180.55000000
1631435238.04669,180.51000000,180.59000000
1631435238.146476,180.51000000,180.58000000
1631435238.246809,180.51000000,180.58000000
1631435238.347772,180.51000000,180.58000000
1631435238.4467049,180.51000000,180.58000000
1631435238.548811,180.51000000,180.58000000
1631435238.647584,180.51000000,180.58000000
1631435238.748468,180.51000000,180.58000000
1631435238.848798,180.51000000,180.58000000
1631435238.953079,180.51000000,180.58000000
1631435239.047992,180.51000000,180.58000000
1631435239.147691,180.51000000,180.58000000
1631435239.248217,180.51000000,180.59000000
1631435239.35039,180.54000000,180.59000000
1631435239.4516401,180.58000000,180.59000000
1631435239.547903,180.59000000,180.66000000
1631435239.648503,180.63000000,180.67000000
1631435239.749063,180.56000000,180.66000000
1631435239.849807,180.60000000,180.67000000
1631435239.952716,180.62000000,180.67000000
1631435240.048969,180.62000000,180.67000000
1631435240.148875,180.62000000,180.67000000
1631435240.2485492,180.59000000,180.67000000
1631435240.3492632,180.60000000,180.66000000
1631435240.4487748,180.60000000,180.63000000
1631435240.5504909,180.60000000,180.63000000
1631435240.6486,180.60000000,180.63000000
1631435240.7786329,180.60000000,180.63000000
1631435240.8491788,180.60000000,180.63000000
1631435240.954273,180.60000000,180.63000000
1631435241.0487838,180.60000000,180.65000000
1631435241.150201,180.60000000,180.65000000
1631435241.250407,180.60000000,180.65000000
1631435241.3493161,180.60000000,180.66000000
1631435241.450424,180.60000000,180.66000000
1631435241.549875,180.60000000,180.66000000
1631435241.653553,180.60000000,180.66000000
1631435241.755241,180.60000000,180.65000000
1631435241.859715,180.60000000,180.65000000
1631435241.978581,180.58000000,180.62000000
1631435242.0602639,180.58000000,180.62000000
1631435242.1602502,180.57000000,180.67000000
1631435242.260101,180.61000000,180.67000000
1631435242.3601248,180.62000000,180.68000000
1631435242.4598908,180.64000000,180.68000000
1631435242.5601878,180.67000000,180.71000000
1631435242.659864,180.69000000,180.71000000
1631435242.760352,180.69000000,180.71000000
1631435242.8605409,180.69000000,180.71000000
1631435242.9786,180.63000000,180.69000000
1631435243.0609221,180.59000000,180.67000000
1631435243.159926,180.60000000,180.68000000
1631435243.261497,180.61000000,180.68000000
1631435243.361375,180.60000000,180.68000000
