time,id,action,limit,quantity,side
1631884456.7666395,0,SUBMIT,138.15892762206195,10,BUY
1631884456.766697,1,SUBMIT,139.00251359090052,10,SELL
1631884486.7741678,0,CANCEL,138.15892762206195,10,BUY
1631884486.774322,1,CANCEL,139.00251359090052,10,SELL
1631884486.7753475,2,SUBMIT,138.23805079195301,10,BUY
1631884486.7754874,3,SUBMIT,139.0850941694129,10,SELL
1631884516.7784407,2,CANCEL,138.23805079195301,10,BUY
1631884516.7786622,3,CANCEL,139.0850941694129,10,SELL
1631884516.7802677,4,SUBMIT,138.35593898927743,10,BUY
1631884516.7804513,5,SUBMIT,139.20448994731458,10,SELL
1631884546.7833848,4,CANCEL,138.35593898927743,10,BUY
1631884546.7835524,5,CANCEL,139.20448994731458,10,SELL
1631884546.7846444,6,SUBMIT,138.37250404665724,10,BUY
1631884546.7847915,7,SUBMIT,139.2174121633106,10,SELL
1631884576.8028057,6,CANCEL,138.37250404665724,10,BUY
1631884576.802854,7,CANCEL,139.2174121633106,10,SELL
1631884576.8033116,8,SUBMIT,138.41231136740797,10,BUY
1631884576.8033724,9,SUBMIT,139.2538400911341,10,SELL
1631884606.8099067,8,CANCEL,138.41231136740797,10,BUY
1631884606.8100314,9,CANCEL,139.2538400911341,10,SELL
1631884606.8108327,10,SUBMIT,138.1685331586104,10,BUY
1631884606.8109374,11,SUBMIT,139.01546586445858,10,SELL
1631884636.8145964,10,CANCEL,138.1685331586104,10,BUY
1631884636.814751,11,CANCEL,139.01546586445858,10,SELL
1631884636.8158405,12,SUBMIT,137.87294308972656,10,BUY
1631884636.8159704,13,SUBMIT,138.71874944939242,10,SELL
