time,cash,inventory,hinventory,equity,mid_price
1631884456.7659423,0,0,0,0.0,138.58072060648124
1631884457.7674973,0,0,0,0.0,138.58072060648124
1631884458.7676907,0,0,0,0.0,138.58072060648124
1631884459.7678342,0,0,0,0.0,138.58238004643826
1631884460.768305,0,0,0,0.0,138.5674565979063
1631884461.7689276,0,0,0,0.0,138.5674565979063
1631884462.7679555,0,0,0,0.0,138.5674565979063
1631884463.769771,0,0,0,0.0,138.5674565979063
1631884464.769832,0,0,0,0.0,138.5674565979063
1631884465.7698524,0,0,0,0.0,138.5674565979063
1631884466.7873359,0,0,0,0.0,138.5674565979063
1631884467.7778995,0,0,0,0.0,138.5674565979063
1631884468.7692435,0,0,0,0.0,138.5707290590494
1631884469.7688937,0,0,0,0.0,138.57415881677238
1631884470.770473,0,0,0,0.0,138.57421254841543
1631884471.769702,0,0,0,0.0,138.59000786015278
1631884472.767848,0,0,0,0.0,138.598881414214
1631884473.767598,0,0,0,0.0,138.62150371558926
1631884474.7702749,0,0,0,0.0,138.62150371558926
1631884475.770381,0,0,0,0.0,138.62150371558926
1631884476.7701,0,0,0,0.0,138.62447476086953
1631884477.771188,0,0,0,0.0,138.62447476086953
1631884478.7709236,0,0,0,0.0,138.63348730841673
1631884479.7717986,0,0,0,0.0,138.63770196105597
1631884480.773628,0,0,0,0.0,138.6628340244306
1631884481.775552,0,0,0,0.0,138.66271555167165
1631884482.774995,0,0,0,0.0,138.66271555167165
1631884483.7746706,0,0,0,0.0,138.66342328320562
1631884484.774969,0,0,0,0.0,138.66342328320562
1631884485.7757945,0,0,0,0.0,138.66342328320562
1631884486.7744823,0,0,0,0.0,138.66157248068296
1631884487.7745497,0,0,0,0.0,138.66157248068296
1631884488.7740908,0,0,0,0.0,138.66860893300662
1631884489.7738466,0,0,0,0.0,138.66974666064925
1631884490.7781756,0,0,0,0.0,138.67991874230955
1631884491.7751715,0,0,0,0.0,138.68243490778343
1631884492.7750456,0,0,0,0.0,138.68243490778343
1631884493.7778199,0,0,0,0.0,138.69851036699117
1631884494.7757099,0,0,0,0.0,138.70542203574666
1631884495.7759793,0,0,0,0.0,138.71143113641074
1631884496.7755973,0,0,0,0.0,138.71143113641074
1631884497.77673,0,0,0,0.0,138.73047722622903
